vars_score_analyzer, methods_score_analyzer, class_score_analyzer, global_score_analyzer, total_score_analyzer, code_example
8.636363636363637, 8.333333333333334, 10.0, 8.333333333333334, 8.825757575757576, 1
9.84126984126984, 4.375, 9.230769230769232, 10.0, 8.361759768009769, 2
8.53211009174312, 8.963855421686747, 9.55056179775281, 9.473684210526315, 9.130052880427247, 3
8.015873015873016, 3.25, 10.0, 8.333333333333334, 7.399801587301587, 4
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 5
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 6
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 7
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 8
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 9
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 10
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 11
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 12
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 13
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 14
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 15
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 16
6.666666666666666, NaN, NaN, 6.666666666666666, NaN, 17
6.666666666666666, NaN, NaN, 6.666666666666666, NaN, 18
6.666666666666666, NaN, NaN, 6.666666666666666, NaN, 19
6.666666666666666, NaN, NaN, 6.666666666666666, NaN, 20
6.666666666666666, NaN, NaN, 10.0, NaN, 21
6.666666666666666, NaN, NaN, 10.0, NaN, 22
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 23
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 24
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 25
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 26
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 27
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 28
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 29
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 30
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 31
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 32
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 33
8.571428571428571, 9.523809523809524, NaN, 6.666666666666666, NaN, 34
8.571428571428571, 9.523809523809524, 10.0, 6.666666666666666, 8.69047619047619, 35
8.571428571428571, 9.523809523809524, 10.0, 6.666666666666666, 8.69047619047619, 36
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 37
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 38
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 39
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 40
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 41
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 42
8.813559322033898, 8.823529411764707, 9.591836734693878, 6.666666666666666, 8.473898033789787, 43
